Marital_Status,Occupation,Num_Bank_Accounts,Num_Credit_Cards,Credit_Utilization_Ratio,Outstanding_Debt,Monthly_Balance,Credit_Score,Credit_Mix,Num_Loans,Loan_Types,Credit_Inquiries,Total_EMI,Min_Amount_Paid,Payment_Behaviour,Collateral_Type,Collateral_Value,Interest_Rate,Due_Date_Delay,Delayed_Payments,Credit_Limit_Change
Single,Scientist,1,1,28.924573110142944,507.19,496.80515160631285,Good,Bad,4.0,sdv-pii-jjp6h,1.0,1870.571027280417,,Low_spent_Small_value_payments,Stocks,176266,72,12,,1.1960679422299352
Married,Writer,1,1,35.52965895850769,2085.72,387.0610674302575,Standard,Bad,-5.0,sdv-pii-u1919,5.0,0.0,,High_spent_Small_value_payments,Vehicle,148647,94,11,10.0,-1.5180812982348364
Divorced,Journalist,5,1,36.53319508515657,1373.79,614.4197501559296,Standard,Good,-4.0,,7.0,5323.203207659698,,High_spent_Medium_value_payments,No Collateral,100729,20,3,6.0,5.155207023494316
Married,_______,6,1,35.83063860979586,4354.11,414.47820259391466,Good,Standard,3.0,sdv-pii-gi74r,1.0,2926.7661556753437,,High_spent_Large_value_payments,Bonds,9462,31,13,23.0,10.323378813487972
Engaged,Lawyer,3,1,33.1412133753855,970.0,92.12381490474752,Standard,Bad,4.0,sdv-pii-4sejp,1.0,2436.046959008011,,Low_spent_Small_value_payments,Stocks,49896,67,23,20.0,-0.45820144518424666
Married,Accountant,4,4,41.51328788148247,4984.82,421.71324564409906,Good,Good,-7.0,sdv-pii-1llk0,8.0,684.2900788749995,,Low_spent_Small_value_payments,Stocks,167600,35,-5,1.0,-0.460779034952739
Separated,Writer,7,3,41.18633420098228,856.16,548.5777831429042,Standard,Standard,0.0,sdv-pii-7rckj,15.0,34.33734343912519,,Low_spent_Small_value_payments,Vehicle,199002,83,-1,14.0,-3.44
Engaged,Entrepreneur,11,1,37.611471447505096,1799.66,411.60931378589873,Standard,Bad,8.0,sdv-pii-oskdw,3.0,4675.985639611495,,Low_spent_Small_value_payments,Stocks,176478,88,14,19.0,17.22029140745108
Widowed,Entrepreneur,8,1,39.024137635522415,1427.51,648.1029800430539,Good,_,-2.0,,3.0,0.0,,Low_spent_Medium_value_payments,Vehicle,173038,29,11,16.0,-0.19574964957649765
Separated,_______,5,30,41.51328788148247,2874.76,424.5254595378527,Good,_,-6.0,sdv-pii-6hxou,0.0,0.0,,!@9#%8,Stocks,57828,80,28,4.0,10.638414707088756
Widowed,Lawyer,12,1,33.910251408126776,3244.36,567.7042696467122,Good,Standard,-100.0,sdv-pii-42s2t,15.0,2086.0783281503377,,!@9#%8,Bonds,6343,55,9,22.0,7.735737850268643
Married,Entrepreneur,5,1,34.76779984432563,1057.45,530.9296557791192,Standard,_,-1.0,sdv-pii-1vbut,7.0,0.0,,High_spent_Medium_value_payments,Bonds,195637,55,18,10.0,15.31758423187969
Engaged,Lawyer,9,1,35.396115174005025,2255.38,1120.751173160778,Poor,_,9.0,sdv-pii-2dqkp,4.0,0.0,,Low_spent_Large_value_payments,Stocks,0,97,-3,19.0,7.292353752045322
In a Relationship,Lawyer,3,1,38.354313312553,1487.67,590.1367823472187,Standard,Standard,-1.0,sdv-pii-3wf43,13.0,2300.384447844797,,Low_spent_Large_value_payments,Property,20386,74,2,12.0,11.741621469749637
Married,Musician,9,1,33.234697860602864,1016.79,601.280189794046,Good,Bad,2.0,sdv-pii-nkd4c,15.0,1270.826295694299,,High_spent_Medium_value_payments,No Collateral,153863,43,-5,23.0,0.6274586702968064
Divorced,Writer,10,1,34.03664890431588,970.3,397.42572367551685,Good,Good,-3.0,,3.0,3657.3492109363624,,High_spent_Large_value_payments,Vehicle,169630,43,-5,17.0,-0.3044653950034588
Engaged,Musician,7,1,30.289539608129388,1137.03,365.1058350173641,Standard,Standard,3.0,sdv-pii-j83hv,13.0,3465.4730053423946,,High_spent_Small_value_payments,Bonds,64491,84,26,9.0,-0.4363085146904586
Single,Writer,1,1,41.51328788148247,4984.82,549.4318451446853,Standard,_,0.0,sdv-pii-5i13l,3.0,0.0,,High_spent_Small_value_payments,Property,111148,85,62,8.0,3.8320249293734525
Divorced,Entrepreneur,13,1,34.80335124728809,1665.28,369.91896294609114,Good,Good,5.0,,13.0,1516.6236344864449,,High_spent_Small_value_payments,Bonds,178778,1,4,25.0,-0.487819848666617
Separated,Journalist,6,1,41.51328788148247,3629.05,271.0360234110202,Poor,Bad,-3.0,sdv-pii-trb4h,8.0,1154.6518898451002,,Low_spent_Small_value_payments,Vehicle,65122,84,-5,7.0,1.9204555697728765
Widowed,_______,1,17,41.51328788148247,1596.69,535.0271333663427,Standard,Standard,0.0,sdv-pii-pt8ul,7.0,3705.4522627585,,High_spent_Small_value_payments,No Collateral,199002,66,6,20.0,0.15414394012126564
Married,Architect,3,33,39.02041326314229,3780.95,487.2326499233302,Standard,Standard,-1.0,sdv-pii-bfeim,9.0,1630.1029611209844,,High_spent_Small_value_payments,Vehicle,199002,75,27,,1.91099821647407
Widowed,Writer,5,1,41.51328788148247,2130.41,403.7726109011409,Good,Bad,3.0,,15.0,2158.6986348623873,,High_spent_Large_value_payments,Property,39949,85,-5,12.0,2.4662048175728817
Separated,Scientist,4,1,41.51328788148247,1965.89,642.8987259118838,Standard,Good,2.0,sdv-pii-ytjlr,10.0,3927.3304398112637,,Low_spent_Small_value_payments,Bonds,65696,46,10,10.0,3.6862395430526824
Widowed,Journalist,11,1,28.155163027537757,2241.13,596.4769358501599,Standard,Standard,-4.0,sdv-pii-oxpva,10.0,0.0,,High_spent_Small_value_payments,Bonds,181923,26,-5,21.0,0.8917843323514116
Single,Scientist,7,18,26.19210313871688,2326.09,353.83870126430406,Standard,Standard,-27.0,sdv-pii-nnlqz,1.0,2076.174353393901,,High_spent_Medium_value_payments,Vehicle,112484,106,6,14.0,6.4680001573092065
Divorced,Scientist,4,1,26.183386865169176,2362.98,419.9383654631257,Standard,Good,-6.0,sdv-pii-n7kgr,0.0,2258.5317062716294,,High_spent_Medium_value_payments,Vehicle,65984,41,3,14.0,1.3856460499921077
Widowed,Writer,2,1,23.132685735741052,4984.82,417.4097836682779,Standard,_,8.0,sdv-pii-ekzlq,6.0,4353.21203303503,,High_spent_Large_value_payments,Vehicle,0,60,-2,1.0,4.354268428995138
Single,Doctor,10,1,41.51328788148247,4557.21,633.7573590379027,Standard,Standard,-100.0,sdv-pii-ajt1n,8.0,3953.4119515746397,,High_spent_Large_value_payments,No Collateral,167412,55,-5,14.0,1.482832431942371
Married,_______,5,1,30.56442559658328,1102.35,539.2730222219013,Poor,Standard,-3.0,sdv-pii-pz62z,1.0,3483.1658839010565,,!@9#%8,Bonds,112419,72,-5,10.0,8.649714116057075
Married,Accountant,0,1,35.85453789543007,1996.34,190.01535485626349,Standard,Good,-4.0,,5.0,2503.018062769966,,High_spent_Large_value_payments,Bonds,139638,97,9,13.0,8.234334691591979
In a Relationship,Media_Manager,9,1,31.29430472788528,558.19,501.66413200917435,Standard,Good,-1.0,sdv-pii-s7kz6,14.0,4479.162097039615,,High_spent_Medium_value_payments,No Collateral,49732,7,47,21.0,3.5185383423351375
In a Relationship,Engineer,8,17,31.79138274190828,2356.11,564.8389799438578,Standard,Standard,-3.0,sdv-pii-vv8pl,9.0,1873.4313679430052,,High_spent_Large_value_payments,Property,156501,1,-5,17.0,-0.2024728343363913
In a Relationship,Teacher,2,1,33.76244673828961,1541.31,478.02426713426144,Standard,Standard,0.0,sdv-pii-muj4v,11.0,0.0,,High_spent_Medium_value_payments,Vehicle,180922,30,14,21.0,0.3958669390386742
Single,Mechanic,6,1,29.145505537744,1440.62,350.2614419801984,Standard,Bad,-1.0,sdv-pii-wph2b,7.0,209.9189661869577,,Low_spent_Medium_value_payments,Stocks,0,69,-5,9.0,1.2990421891701285
Married,Scientist,7,1,28.291898289230875,172.51,393.81202769563856,Standard,Good,-0.0,sdv-pii-wlubv,2.0,1008.097968927038,,Low_spent_Medium_value_payments,No Collateral,102813,101,8,15.0,5.156448723969513
Widowed,Writer,2,9,35.60875431893255,1252.37,647.9565763581932,Standard,Good,4.0,sdv-pii-9qy9a,10.0,0.0,,High_spent_Small_value_payments,Stocks,149341,66,-5,12.0,-1.4773536422640676
Married,Entrepreneur,10,1,39.01556796868492,1928.73,519.2400511479389,Standard,Good,-2.0,,5.0,1773.5008103643754,,High_spent_Large_value_payments,Stocks,68106,44,5,2.0,1.9567686756570462
Married,Writer,6,1,34.01193947027248,833.6,95.70334796907741,Standard,_,-6.0,sdv-pii-tj3fa,5.0,2737.158312008653,,!@9#%8,Bonds,121777,82,15,1.0,7.689558009668982
In a Relationship,Musician,11,1,34.470729886947026,4131.35,369.6936953937136,Standard,Standard,,sdv-pii-w4l7o,11.0,3744.5424943125645,,Low_spent_Small_value_payments,Bonds,28772,42,-4,24.0,3.726374260735917
Married,Musician,3,1,22.53759303178384,1294.35,322.20040303473615,Good,_,-6.0,sdv-pii-nixcl,3.0,0.0,,!@9#%8,Stocks,52195,79,20,1.0,22.083713134230855
Separated,Developer,5,28,32.595236948229775,2078.71,904.5257328214387,Poor,Standard,4.0,sdv-pii-rjk0j,0.0,1544.9396635970893,,Low_spent_Small_value_payments,No Collateral,125015,28,3,10.0,-0.653786515867794
In a Relationship,Writer,6,30,29.505294485055977,1219.04,1007.7056032345992,Poor,Bad,-4.0,sdv-pii-wz44c,15.0,0.0,,Low_spent_Medium_value_payments,Vehicle,98821,95,8,6.0,7.119216173395919
Widowed,Lawyer,5,1,26.319982476837353,682.6,90.71075471282043,Standard,Good,5.0,sdv-pii-g3jtt,3.0,0.0,,Low_spent_Small_value_payments,Property,136783,84,18,12.0,10.195696086859495
Widowed,Entrepreneur,0,5,24.28070635099364,3909.94,558.5415132099874,Good,Standard,-2.0,sdv-pii-8fo0m,4.0,702.4349074486329,,Low_spent_Small_value_payments,Stocks,199002,62,-4,13.0,9.377407133444683
Married,Developer,2,1,29.718903637332694,938.36,347.26266190658487,Poor,Standard,-4.0,sdv-pii-7ayj9,4.0,2402.1903224062803,,Low_spent_Small_value_payments,Stocks,0,70,4,17.0,5.335130549963051
Single,Entrepreneur,8,1,29.422337575156618,1253.45,525.1220944661513,Standard,Good,3.0,sdv-pii-10pn4,1.0,0.0,,High_spent_Medium_value_payments,Vehicle,199002,100,43,,0.45998564530760877
Married,Scientist,11,1,38.653799437961865,3372.15,551.7144692433475,Poor,_,-0.0,sdv-pii-c5czk,12.0,2010.6376397709257,,High_spent_Large_value_payments,Stocks,159389,1,-1,12.0,-1.3677875046601367
In a Relationship,Scientist,4,1,22.53759303178384,1040.81,562.2561917309579,Good,Bad,-0.0,sdv-pii-jsxva,4.0,3154.502459217897,,High_spent_Medium_value_payments,Stocks,72926,69,-5,5.0,23.871200472595216
Divorced,Accountant,1,1,38.744606442421464,3763.05,456.1063448167596,Poor,Standard,-0.0,sdv-pii-jzg72,0.0,1568.0292455929086,,Low_spent_Small_value_payments,Vehicle,70493,35,-5,9.0,6.384318864667471
Single,Media_Manager,11,29,36.256489495283645,1802.23,305.5276785118499,Good,Standard,5.0,sdv-pii-5uiik,11.0,2212.8937110860275,,High_spent_Small_value_payments,Vehicle,167652,78,-5,16.0,-1.0982058412350915
Separated,Doctor,4,1,37.228760554142625,109.42,633.4679733956671,Standard,Good,-3.0,sdv-pii-1wmpa,12.0,3503.680005312322,,!@9#%8,Stocks,21535,101,-3,11.0,6.906333359433889
Single,Journalist,0,1,40.056075305473485,3485.07,570.407430025956,Poor,Standard,-4.0,sdv-pii-n7ju9,15.0,896.1698091502853,,Low_spent_Large_value_payments,Property,199002,107,5,12.0,2.726077404766249
Single,Mechanic,4,1,40.79178491461266,1161.33,283.30103419475176,Good,_,2.0,sdv-pii-1s9of,14.0,2492.8383364990596,,Low_spent_Medium_value_payments,Vehicle,65356,59,1,16.0,0.18217240982209137
In a Relationship,Manager,12,1,35.94843977987976,2545.45,453.0063155709804,Standard,Standard,5.0,sdv-pii-3jp5i,5.0,4431.05766732109,,Low_spent_Small_value_payments,Bonds,80993,1,2,12.0,3.981772547418897
Single,_______,12,1,41.0343748479033,1895.55,834.7986438279298,Poor,Good,-6.0,sdv-pii-kwdp4,0.0,2140.7536012648848,,High_spent_Medium_value_payments,Bonds,42331,109,-4,18.0,6.343835084550971
Married,Architect,6,27,39.057232812238496,1716.45,248.91462288809592,Poor,Standard,-3.0,sdv-pii-7gkv7,12.0,1538.382771401987,,High_spent_Large_value_payments,Property,167792,46,1,12.0,6.935772837326951
Married,Teacher,3,1,30.926535740664054,4984.82,547.0004580326809,Good,Bad,-3.0,sdv-pii-1iey9,3.0,953.5293966639675,,High_spent_Medium_value_payments,Bonds,43756,37,2,9.0,3.1808303047612725
In a Relationship,_______,1,1,34.91529668996974,3050.0,285.9806041041695,Good,Standard,-3.0,sdv-pii-bk83n,2.0,0.0,,High_spent_Small_value_payments,Bonds,57496,64,19,26.0,6.674705726980127
Married,Engineer,1,1,34.95851104537418,3194.6,186.91729789498817,Poor,Standard,-100.0,sdv-pii-g3q52,5.0,0.0,,!@9#%8,Property,146148,74,22,18.0,11.174184251630436
Divorced,Engineer,12,1,32.106454749114555,1572.93,561.9338425566323,Standard,Standard,-3.0,,9.0,3913.3134443393096,,Low_spent_Large_value_payments,Bonds,53622,95,-5,17.0,0.4066634981384558
Separated,Musician,7,8,37.316655590213415,1125.02,739.7424463976275,Standard,Standard,-6.0,sdv-pii-mawv4,3.0,1184.0166703433822,,Low_spent_Medium_value_payments,Vehicle,195261,94,25,10.0,7.934336952767215
Single,Teacher,9,1,35.53268340422893,4263.55,246.49974894794065,Good,Standard,5.0,sdv-pii-at0ug,15.0,126.89714032734686,,Low_spent_Small_value_payments,Vehicle,86916,93,15,1.0,6.890623228381574
Single,Manager,0,1,39.00987756492622,4984.82,515.6352050054224,Good,_,3.0,sdv-pii-vb9od,4.0,0.0,,Low_spent_Small_value_payments,Bonds,168667,75,30,13.0,0.4543933500584689
Married,Journalist,4,1,34.54623227635972,1366.0,176.54295578145081,Poor,Standard,7.0,sdv-pii-fkktp,1.0,3521.4862158488236,,Low_spent_Small_value_payments,Bonds,54282,14,27,12.0,7.663608299529553
Separated,Manager,5,1,31.379764724400736,1084.63,247.7124715148654,Poor,Standard,-4.0,sdv-pii-1rogv,0.0,1376.8357015402287,,High_spent_Large_value_payments,Vehicle,91550,6,37,6.0,5.080020136146651
Married,Accountant,8,1,26.77343526697975,35.54,412.4447395834666,Standard,Bad,9.0,sdv-pii-rs7cu,15.0,0.0,,Low_spent_Large_value_payments,Stocks,118845,92,-5,14.0,6.641654489311419
Separated,Journalist,2,19,41.51328788148247,1287.16,486.7347799904824,Standard,Bad,2.0,sdv-pii-fr3eo,9.0,0.0,,!@9#%8,Bonds,199002,1,10,22.0,8.770208691129465
Engaged,Mechanic,11,1,36.03893592293095,35.54,518.5997119249107,Standard,Standard,-3.0,sdv-pii-728ze,0.0,1204.5306195175997,,!@9#%8,Bonds,199002,1,22,18.0,11.295504956341368
Single,Entrepreneur,2,1,34.76682242131861,1555.02,451.1645284647359,Standard,Good,0.0,sdv-pii-g38v5,8.0,2403.541694287937,,Low_spent_Small_value_payments,Property,52448,91,21,10.0,7.962310401476088
Divorced,Manager,3,1,33.366998156457484,4984.82,549.4289558106988,Good,_,-6.0,sdv-pii-i1wi9,12.0,517.5038809457284,,High_spent_Small_value_payments,Vehicle,0,30,6,10.0,4.866255296967263
Separated,Lawyer,5,1,34.404325007029776,4984.82,1048.7709131160532,Good,Bad,1.0,sdv-pii-f9i7s,9.0,1397.6073173388354,,High_spent_Small_value_payments,Stocks,199002,73,-4,17.0,2.835226657354867
Divorced,Accountant,7,1,29.405105451708128,1797.27,477.95580248110184,Standard,Bad,-4.0,sdv-pii-uz2da,4.0,1429.317535843548,,Low_spent_Small_value_payments,Property,144835,35,2,10.0,1.7354780172513813
Single,Lawyer,6,1,36.30432652512492,2046.0,593.135986399189,Standard,Standard,7.0,sdv-pii-3cyq8,1.0,0.0,,!@9#%8,Property,0,87,4,26.0,0.3287235777660529
Separated,Entrepreneur,12,1,37.68452909944405,1053.28,647.1828127165948,Good,Standard,3.0,sdv-pii-5g6u4,15.0,2045.9557077282327,,Low_spent_Small_value_payments,Property,198400,55,-4,7.0,4.111361768486923
Married,Writer,0,1,32.208280521701525,1371.95,402.40914675520906,Standard,Standard,4.0,sdv-pii-yuedx,15.0,1924.99345640793,,Low_spent_Small_value_payments,Property,10685,74,5,8.0,3.5073912283736357
Single,Scientist,4,1,32.89884817098143,928.73,479.42543080755695,Standard,Good,9.0,sdv-pii-ls0hm,15.0,463.90046051293405,,!@9#%8,Property,50623,114,-4,6.0,-2.4256223390341285
Single,Media_Manager,10,1,41.51328788148247,3840.56,354.46338783451813,Standard,_,,sdv-pii-h8jda,4.0,3732.331921004109,,!@9#%8,No Collateral,112567,98,-2,17.0,-1.3788121478311304
Separated,Journalist,11,1,36.32784950351146,4231.96,341.4519443102947,Standard,Standard,-1.0,sdv-pii-3wvou,14.0,2374.353026171632,,High_spent_Large_value_payments,Stocks,67566,41,-3,3.0,3.263020329724929
Single,Developer,8,1,34.58418906693612,,387.95527861213003,Standard,Standard,3.0,sdv-pii-w6amu,9.0,193.3758937216677,,High_spent_Medium_value_payments,Stocks,0,64,8,20.0,-3.44
Separated,Musician,2,1,31.19708244940765,1025.21,494.36789789008344,Poor,Standard,-4.0,sdv-pii-x5g2t,15.0,1537.338412059083,,Low_spent_Small_value_payments,Property,49065,107,1,22.0,9.64641415991044
Separated,Writer,12,1,38.45968442121046,1375.12,560.2861935696405,Poor,Standard,-1.0,sdv-pii-44t2c,9.0,0.0,,High_spent_Small_value_payments,Stocks,134778,63,29,19.0,4.00774614094545
Married,Scientist,4,1,35.63220647173284,4711.59,622.5645538421206,Good,Standard,-1.0,sdv-pii-1pi15,8.0,3939.3584418484274,,!@9#%8,No Collateral,116489,72,17,18.0,1.6198519568155048
Separated,Media_Manager,4,1,38.982562288715144,1774.83,448.1661032767098,Standard,_,-3.0,sdv-pii-6uoqo,14.0,2735.781793517932,,High_spent_Large_value_payments,Vehicle,89689,35,16,9.0,11.76177171657376
Single,Scientist,2,1,36.503935814263485,1169.83,532.0680533698205,Poor,Bad,-3.0,sdv-pii-0eqtt,6.0,0.0,,Low_spent_Small_value_payments,Stocks,160580,70,21,23.0,4.947114739049912
Divorced,_______,3,1,37.79536794083228,1336.6,216.0708725352759,Poor,Standard,-3.0,,0.0,292.9687859493394,,Low_spent_Small_value_payments,Property,0,92,-4,18.0,1.3943427006415403
Married,Engineer,8,1,35.16743912019436,3745.62,583.4543307031231,Poor,Bad,-6.0,sdv-pii-dwbd6,7.0,0.0,,!@9#%8,Property,125508,74,16,16.0,4.174060677818272
Single,Journalist,11,5,38.94947040502627,4984.82,643.7777703004092,Standard,Standard,3.0,sdv-pii-rxiqw,7.0,841.2459979749135,,High_spent_Medium_value_payments,No Collateral,91453,73,-5,17.0,1.0511504859688863
Single,Mechanic,10,1,28.79217820570661,1444.51,542.1661500296001,Poor,Standard,-3.0,sdv-pii-ttyc3,6.0,0.0,,High_spent_Medium_value_payments,Property,70415,63,19,19.0,2.3801341469734645
Single,Journalist,4,1,24.07823838288296,1115.53,790.7870528077265,Standard,Standard,-2.0,sdv-pii-thiy7,3.0,3624.419209654962,,Low_spent_Small_value_payments,Vehicle,103171,59,18,7.0,1.338563684583428
Divorced,Lawyer,9,29,22.53759303178384,1595.91,469.1128953166884,Poor,Standard,1.0,sdv-pii-gifgm,13.0,0.0,,Low_spent_Medium_value_payments,Bonds,147607,105,-5,15.0,1.634799456926924
Married,Engineer,10,1,34.39734675125841,1269.37,546.9309632691434,Good,Bad,8.0,sdv-pii-cmbl1,9.0,3935.0191016513268,,Low_spent_Small_value_payments,Property,160550,103,1,21.0,2.8281515515222315
Single,Musician,14,8,41.51328788148247,249.84,628.5208054946074,Standard,Good,-1.0,sdv-pii-3ss1l,11.0,3832.2025400898992,,High_spent_Medium_value_payments,Property,55285,61,4,16.0,6.921015373105567
Widowed,_______,3,1,33.27629632729273,4984.82,302.9765742408052,Standard,Standard,-1.0,sdv-pii-orhul,5.0,3014.1130744987086,,!@9#%8,Bonds,67864,84,7,17.0,0.3765768037717434
Divorced,Musician,10,1,41.51328788148247,667.29,392.45432965535815,Standard,Bad,2.0,sdv-pii-2mb8y,13.0,1588.1391266516066,,High_spent_Small_value_payments,Vehicle,199002,64,3,1.0,-1.5682670773770608
Divorced,Architect,3,1,37.711166048646575,1944.94,402.6798647874273,Standard,Bad,0.0,sdv-pii-robnh,6.0,4450.07608220415,,High_spent_Medium_value_payments,Bonds,159096,25,-4,8.0,2.622196424626485
Single,Journalist,4,1,22.53759303178384,3681.16,507.422335960259,Good,Good,2.0,sdv-pii-igha7,5.0,0.0,,!@9#%8,Stocks,65817,56,9,23.0,7.91224059698232
Single,Scientist,1,21,29.596730769907477,4471.53,314.9872121431153,Standard,_,-3.0,sdv-pii-4eh58,4.0,1579.0099602573457,,Low_spent_Small_value_payments,Property,199002,53,24,1.0,-0.7017810251006287
In a Relationship,Scientist,13,1,41.51328788148247,1501.28,430.146621121723,Standard,Standard,-98.0,sdv-pii-jqp7j,4.0,2864.9568240165445,,Low_spent_Small_value_payments,Vehicle,181868,1,29,15.0,2.7308677684584906
Single,Entrepreneur,5,1,29.792794448216767,862.76,617.1914505622631,Standard,Good,7.0,sdv-pii-x3ew7,5.0,327.30514579009406,,High_spent_Medium_value_payments,Property,90021,57,9,19.0,2.266490031526846
In a Relationship,Scientist,4,1,40.081913386087066,4984.82,486.8382432718443,Standard,Good,8.0,sdv-pii-qv8hw,14.0,0.0,,Low_spent_Small_value_payments,No Collateral,0,80,15,13.0,5.056728966015194
